区站号,东经,北纬
1,117.6451204819277,29.464444444444446
2,117.65536144578313,29.464444444444446
3,117.66560240963855,29.464444444444446
4,117.67584337349398,29.464444444444446
5,117.6860843373494,29.464444444444446
6,117.69632530120482,29.464444444444446
7,117.70656626506025,29.464444444444446
8,117.71680722891567,29.464444444444446
9,117.72704819277108,29.464444444444446
10,117.7372891566265,29.464444444444446
11,117.74753012048193,29.464444444444446
12,117.75777108433735,29.464444444444446
13,117.76801204819277,29.464444444444446
14,117.7782530120482,29.464444444444446
15,117.78849397590362,29.464444444444446
16,117.79873493975903,29.464444444444446
17,117.80897590361445,29.464444444444446
18,117.81921686746988,29.464444444444446
19,117.8294578313253,29.464444444444446
20,117.83969879518072,29.464444444444446
21,117.84993975903615,29.464444444444446
22,117.86018072289157,29.464444444444446
23,117.870421686747,29.464444444444446
24,117.8806626506024,29.464444444444446
25,117.89090361445783,29.464444444444446
26,117.90114457831325,29.464444444444446
27,117.91138554216867,29.464444444444446
28,117.9216265060241,29.464444444444446
29,117.93186746987952,29.464444444444446
30,117.94210843373494,29.464444444444446
31,117.95234939759035,29.464444444444446
32,117.96259036144578,29.464444444444446
33,117.9728313253012,29.464444444444446
34,117.98307228915662,29.464444444444446
35,117.99331325301205,29.464444444444446
36,118.00355421686747,29.464444444444446
37,118.0137951807229,29.464444444444446
38,118.02403614457832,29.464444444444446
39,118.03427710843373,29.464444444444446
40,118.04451807228915,29.464444444444446
41,118.05475903614457,29.464444444444446
42,118.065,29.464444444444446
43,118.07524096385542,29.464444444444446
44,118.08548192771084,29.464444444444446
45,118.09572289156627,29.464444444444446
46,118.10596385542168,29.464444444444446
47,118.1162048192771,29.464444444444446
48,118.12644578313252,29.464444444444446
49,118.13668674698795,29.464444444444446
50,118.14692771084337,29.464444444444446
51,118.1571686746988,29.464444444444446
52,118.16740963855422,29.464444444444446
53,118.17765060240964,29.464444444444446
54,118.18789156626505,29.464444444444446
55,118.19813253012047,29.464444444444446
56,118.2083734939759,29.464444444444446
57,118.21861445783132,29.464444444444446
58,118.22885542168675,29.464444444444446
59,118.23909638554217,29.464444444444446
60,118.24933734939759,29.464444444444446
61,118.259578313253,29.464444444444446
62,118.26981927710843,29.464444444444446
63,118.28006024096385,29.464444444444446
64,118.29030120481927,29.464444444444446
65,118.3005421686747,29.464444444444446
66,118.31078313253012,29.464444444444446
67,118.32102409638554,29.464444444444446
68,118.33126506024097,29.464444444444446
69,118.34150602409638,29.464444444444446
70,118.3517469879518,29.464444444444446
71,118.36198795180722,29.464444444444446
72,118.37222891566265,29.464444444444446
73,118.38246987951807,29.464444444444446
74,118.3927108433735,29.464444444444446
75,118.40295180722892,29.464444444444446
76,118.41319277108433,29.464444444444446
77,118.42343373493975,29.464444444444446
78,118.43367469879517,29.464444444444446
79,118.4439156626506,29.464444444444446
80,118.45415662650602,29.464444444444446
81,118.46439759036144,29.464444444444446
82,118.47463855421687,29.464444444444446
83,118.48487951807229,29.464444444444446
84,117.6451204819277,29.473333333333333
85,117.65536144578313,29.473333333333333
86,117.66560240963855,29.473333333333333
87,117.67584337349398,29.473333333333333
88,117.6860843373494,29.473333333333333
89,117.69632530120482,29.473333333333333
90,117.70656626506025,29.473333333333333
91,117.71680722891567,29.473333333333333
92,117.72704819277108,29.473333333333333
93,117.7372891566265,29.473333333333333
94,117.74753012048193,29.473333333333333
95,117.75777108433735,29.473333333333333
96,117.76801204819277,29.473333333333333
97,117.7782530120482,29.473333333333333
98,117.78849397590362,29.473333333333333
99,117.79873493975903,29.473333333333333
100,117.80897590361445,29.473333333333333
101,117.81921686746988,29.473333333333333
102,117.8294578313253,29.473333333333333
103,117.83969879518072,29.473333333333333
104,117.84993975903615,29.473333333333333
105,117.86018072289157,29.473333333333333
106,117.870421686747,29.473333333333333
107,117.8806626506024,29.473333333333333
108,117.89090361445783,29.473333333333333
109,117.90114457831325,29.473333333333333
110,117.91138554216867,29.473333333333333
111,117.9216265060241,29.473333333333333
112,117.93186746987952,29.473333333333333
113,117.94210843373494,29.473333333333333
114,117.95234939759035,29.473333333333333
115,117.96259036144578,29.473333333333333
116,117.9728313253012,29.473333333333333
117,117.98307228915662,29.473333333333333
118,117.99331325301205,29.473333333333333
119,118.00355421686747,29.473333333333333
